Detected,Detected2,Detected3,Detected4,Detected5,Reality,Was Covert,Frameno,Diff,Diff2,Diff3,Diff4,Diff5
7,7,7,7,7,7,False,248,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
2,2,2,2,2,2,False,287,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
4,4,4,4,4,4,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
13,13,13,13,13,13,False,287,True,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
18,18,18,18,18,18,True,287,True,True,True,True,True
20,T18,18,18,T18,6,True,286,False,False,False,False,False
2,2,2,2,2,2,False,287,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
16,16,16,16,16,16,False,287,True,True,True,True,True
7,7,7,7,7,7,False,289,True,True,True,True,True
14,14,14,14,14,14,False,289,True,True,True,True,True
8,8,8,8,11,8,False,287,True,True,True,True,False
18,18,18,18,18,18,False,287,True,True,True,True,True
D9,D9,D9,D9,D9,D9,False,286,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
0,0,D6,D10,D6,D6,False,286,False,False,True,False,True
2,2,2,2,2,2,False,287,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
13,10,6,6,6,6,False,287,False,False,True,True,True
13,13,13,13,13,13,False,287,True,True,True,True,True
T10,T10,T10,T10,T10,T10,False,287,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
20,20,20,20,20,20,False,286,True,True,True,True,True
5,5,12,12,5,5,False,287,True,True,False,False,True
T9,T9,T9,T9,T9,T9,False,287,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
12,12,12,12,12,12,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
T13,T13,T13,T13,T13,T13,False,287,True,True,True,True,True
